Month,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected,Year,Datetime Event Began,Datetime of Restoration,Event Duration (hours)
July,Nebraska,Severe Weather Transmission Interruption,,211500,2021,2021-07-10 00:30:00,2021-07-10 05:00:00,4
July,Nebraska,Severe Weather,,188000,2021,2021-07-10 00:00:00,2021-07-11 16:00:00,40
July,Missouri,Severe Weather,,52000,2021,2021-07-10 01:55:00,2021-07-10 01:56:00,0
July,Nevada,Transmission Interruption,9000,1300000,2021,2021-07-10 18:00:00,2021-07-10 21:00:00,3
July,Missouri,Severe Weather Transmission Interruption,,212500,2021,2021-07-10 00:30:00,2021-07-10 05:00:00,4
July,Nevada,Transmission Interruption,9000,1300000,2021,2021-07-11 18:00:00,2021-07-11 21:00:00,3
July,Colorado,Sabotage,0,0,2021,2021-07-12 15:51:00,2021-07-13 17:00:00,25
July,California,Severe Weather Transmission Interruption,35,11000,2021,2021-07-14 14:15:00,2021-07-14 14:16:00,0
July,Illinois,Transmission Interruption,0,0,2021,2021-07-18 04:00:00,2021-07-18 09:46:00,6
July,Ohio,System Operations,0,0,2021,2021-07-20 16:21:00,2021-07-20 17:00:00,1
July,Pennsylvania,Severe Weather,,81503,2021,2021-07-21 14:45:00,2021-07-22 12:00:00,21
July,California,System Operations,220,0,2021,2021-07-22 14:00:00,2021-07-22 14:40:00,1
July,Minnesota,System Operations,15,3500,2021,2021-07-23 08:09:00,2021-07-23 08:30:00,0
July,Virginia,System Operations,0,0,2021,2021-07-23 08:20:00,2021-07-23 10:45:00,2
July,Michigan,Severe Weather,,225949,2021,2021-07-24 20:30:00,,
July,Nevada,Vandalism,0,0,2021,2021-07-26 07:54:00,,
July,Maine,System Operations,0,0,2021,2021-07-28 12:54:00,2021-07-28 15:42:00,3
July,Wisconsin,Cyber Event,0,0,2021,2021-07-30 08:02:00,2021-07-30 09:34:00,2
August,Nevada,Vandalism,0,0,2021,2021-08-01 09:00:00,2021-08-04 09:00:00,72
August,California,Severe Weather,95,65888,2021,2021-08-01 23:37:00,2021-08-02 00:00:00,0
August,Texas,Severe Weather Transmission Interruption,43,19000,2021,2021-08-02 06:23:00,2021-08-02 15:55:00,10
August,Texas,Severe Weather Transmission Interruption,24,9400,2021,2021-08-02 00:18:00,2021-08-02 10:47:00,10
August,Texas,Suspicious Activity,0,0,2021,2021-08-03 07:05:00,2021-08-03 07:32:00,0
August,Oregon,System Operations,4,,2021,2021-08-03 04:35:00,2021-08-03 05:28:00,1
August,Michigan,Severe Weather,,372600,2021,2021-08-10 22:30:00,2021-08-13 16:38:00,66
August,Illinois,Severe Weather,,318761,2021,2021-08-10 20:30:00,2021-08-11 19:00:00,22
August,Wisconsin,Severe Weather,,233000,2021,2021-08-10 20:00:00,,
August,Michigan,Severe Weather,,700000,2021,2021-08-11 15:35:00,,
August,Ohio,Severe Weather,,92109,2021,2021-08-11 19:12:00,2021-08-11 21:49:00,3
August,Illinois,Severe Weather,,101000,2021,2021-08-12 18:57:00,2021-08-13 06:00:00,11
August,Massachusetts,System Operations,0,0,2021,2021-08-12 22:03:00,2021-08-12 22:44:00,1
August,California,Actual Physical Attack,0,0,2021,2021-08-15 17:17:00,2021-08-16 03:30:00,10
August,Montana,Vandalism,0,0,2021,2021-08-16 16:11:00,2021-08-16 16:31:00,0
August,California,Severe Weather,234,71000,2021,2021-08-17 19:15:00,2021-08-18 17:45:00,22
August,California,Vandalism,,0,2021,2021-08-17 14:00:00,2021-08-18 14:00:00,24
August,Texas,System Operations,0,0,2021,2021-08-18 11:40:00,2021-08-18 12:13:00,1
August,California,Vandalism,0,0,2021,2021-08-20 15:35:00,2021-08-20 16:35:00,1
August,Oregon,Vandalism,0,0,2021,2021-08-20 02:00:00,2021-08-20 03:00:00,1
August,Idaho,Severe Weather,0,418,2021,2021-08-21 10:14:00,2021-08-21 10:52:00,1
August,Connecticut,Severe Weather,,28134,2021,2021-08-22 12:11:00,2021-08-23 16:30:00,28
August,Michigan,Severe Weather,,65000,2021,2021-08-24 21:37:00,,
August,Michigan,Severe Weather,,84987,2021,2021-08-24 17:00:00,2021-08-26 14:07:00,45
August,Arkansas,Suspicious Activity,0,0,2021,2021-08-27 06:16:00,2021-08-27 10:14:00,4
August,Louisiana,Severe Weather,,,2021,2021-08-29 11:30:00,,
August,Louisiana,Severe Weather,,,2021,2021-08-29 18:04:00,2021-08-31 22:36:00,53
August,Louisiana,Severe Weather,,91315,2021,2021-08-29 18:00:00,2021-09-03 13:41:00,116
August,Louisiana,Severe Weather,,50000,2021,2021-08-29 22:39:00,2021-09-03 08:38:00,106
August,New York,Transmission Interruption,796,0,2021,2021-08-29 20:25:00,,
August,Louisiana,Transmission Interruption,,,2021,2021-08-29 09:32:00,2021-08-29 21:32:00,12
August,Louisiana,Severe Weather,,,2021,2021-08-29 17:53:00,,
August,Florida,Actual Physical Attack,0,0,2021,2021-08-30 21:17:00,2021-09-01 15:19:00,42
September,California,Vandalism,0,0,2021,2021-09-01 06:22:00,2021-09-01 15:56:00,10
September,Pennsylvania,Severe Weather,,252740,2021,2021-09-01 17:30:00,2021-09-02 02:00:00,8
September,Texas,Suspicious Activity,0,0,2021,2021-09-02 14:07:00,2021-09-02 14:10:00,0
September,Michigan,Severe Weather,,80000,2021,2021-09-07 17:30:00,2021-09-09 09:00:00,40
September,Michigan,Severe Weather,,60000,2021,2021-09-07 20:00:00,2021-09-09 07:00:00,35
September,North Dakota,Transmission Interruption,37,1,2021,2021-09-08 12:15:00,2021-09-08 12:38:00,0
September,California,Vandalism,0,0,2021,2021-09-09 16:00:00,2021-09-09 17:30:00,2
September,Nevada,System Operations,8000,1300000,2021,2021-09-09 17:00:00,2021-09-09 20:00:00,3
September,North Dakota,Transmission Interruption,6,1,2021,2021-09-10 11:17:00,2021-09-10 11:19:00,0
September,Iowa,Vandalism,0,0,2021,2021-09-10 14:05:00,,
September,California,Severe Weather,89,59649,2021,2021-09-10 07:20:00,2021-09-10 09:05:00,2
September,Florida,Severe Weather,75,,2021,2021-09-10 01:55:00,2021-09-10 02:04:00,0
September,Texas,Actual Physical Attack,0,0,2021,2021-09-11 08:32:00,,
September,Washington,Transmission Interruption,0,0,2021,2021-09-13 12:18:00,2021-09-13 13:15:00,1
September,Texas,Severe Weather,,204280,2021,2021-09-13 23:59:00,,
September,Texas,Transmission Interruption,0,0,2021,2021-09-13 13:10:00,,
September,Texas,Severe Weather,,66589,2021,2021-09-13 18:00:00,2021-09-14 00:49:00,7
September,Texas,Severe Weather,1905,705415,2021,2021-09-14 00:35:00,2021-09-18 19:20:00,115
September,Texas,Severe Weather,0,,2021,2021-09-14 07:36:00,2021-09-15 01:48:00,18
September,Texas,Severe Weather,0,,2021,2021-09-14 07:52:00,2021-09-14 22:44:00,15
September,Texas,System Operations,0,0,2021,2021-09-15 22:42:00,2021-09-16 00:37:00,2
September,Oklahoma,Transmission Interruption,100,4000,2021,2021-09-16 14:49:00,2021-09-16 20:02:00,5
September,Washington,Severe Weather Transmission Interruption,,87000,2021,2021-09-17 23:00:00,2021-09-19 12:00:00,37
September,Indiana,Suspicious Activity,0,0,2021,2021-09-17 03:50:00,2021-09-18 04:08:00,24
September,Minnesota,Severe Weather,,82000,2021,2021-09-17 03:00:00,2021-09-18 22:00:00,43
September,Indiana,Suspicious Activity,0,0,2021,2021-09-18 04:30:00,2021-09-18 06:00:00,2
September,Michigan,Severe Weather,,136000,2021,2021-09-22 17:17:00,,
September,California,Vandalism,1,0,2021,2021-09-22 09:36:00,2021-09-23 11:45:00,26
September,Kentucky,Transmission Interruption,20,5000,2021,2021-09-28 13:44:00,2021-09-28 13:56:00,0
September,Missouri,System Operations,150,0,2021,2021-09-29 11:48:00,2021-09-29 12:21:00,1
October,Texas,Suspicious Activity,0,0,2021,2021-10-03 10:40:00,2021-10-03 11:54:00,1
October,Utah,Vandalism,,0,2021,2021-10-04 07:00:00,2021-10-04 08:00:00,1
October,California,Vandalism,0,0,2021,2021-10-05 11:31:00,2021-10-05 11:32:00,0
October,Maryland,Vandalism,0,0,2021,2021-10-07 17:15:00,2021-10-09 18:15:00,49
October,California,Vandalism,0,0,2021,2021-10-08 06:30:00,2021-10-08 10:00:00,4
October,Ohio,System Operations,210,0,2021,2021-10-08 14:30:00,2021-10-08 18:32:00,4
October,North Carolina,System Operations,0,0,2021,2021-10-09 17:01:00,2021-10-10 06:30:00,13
October,Texas,Severe Weather,,110000,2021,2021-10-10 22:15:00,2021-10-12 17:00:00,43
October,California,Severe Weather,126,84000,2021,2021-10-11 14:22:00,2021-10-11 20:30:00,6
October,Illinois,Suspicious Activity,0,0,2021,2021-10-12 20:08:00,2021-10-12 20:09:00,0
October,Oregon,Transmission Interruption,,,2021,2021-10-16 14:16:00,2021-10-16 18:41:00,4
October,Pennsylvania,System Operations,0,0,2021,2021-10-18 22:18:00,2021-10-18 23:30:00,1
October,Pennsylvania,Suspicious Activity,0,0,2021,2021-10-18 23:26:00,2021-10-19 15:00:00,16
October,Georgia,Suspicious Activity,0,0,2021,2021-10-18 23:27:00,2021-10-19 10:05:00,11
October,Missouri,Suspicious Activity,0,0,2021,2021-10-18 22:26:00,2021-10-19 08:19:00,10
October,Florida,Vandalism,0,0,2021,2021-10-18 11:47:00,2021-10-18 11:48:00,0
October,Ohio,System Operations,42,1,2021,2021-10-19 15:34:00,2021-10-19 16:26:00,1
October,Wisconsin,System Operations,0,0,2021,2021-10-20 23:00:00,2021-10-21 01:20:00,2
October,Louisiana,System Operations,132,0,2021,2021-10-22 19:55:00,2021-10-23 05:55:00,10
October,California,Severe Weather,116,59000,2021,2021-10-24 08:55:00,2021-10-25 18:15:00,33
October,Washington,Severe Weather,,233000,2021,2021-10-24 07:00:00,2021-10-26 21:30:00,62
October,Louisiana,System Operations,0,0,2021,2021-10-27 17:57:00,2021-10-28 16:49:00,23
October,Connecticut,Severe Weather,,169000,2021,2021-10-27 02:25:00,2021-10-29 08:37:00,54
October,Montana,System Operations,20,0,2021,2021-10-28 12:47:00,2021-10-28 13:05:00,0
October,Texas,Severe Weather,,250000,2021,2021-10-28 14:15:00,2021-10-30 08:00:00,42
October,Texas,Severe Weather,,130000,2021,2021-10-28 14:45:00,2021-10-29 20:30:00,30
October,Texas,Actual Physical Attack Vandalism,,,2021,2021-10-28 12:06:00,2021-10-28 12:30:00,0
October,Vermont,Suspicious Activity,0,0,2021,2021-10-29 14:20:00,2021-10-29 15:00:00,1
October,New Jersey,Suspicious Activity,,,2021,2021-10-30 07:31:00,,
October,California,Vandalism,0,0,2021,2021-10-31 07:49:00,2021-10-31 09:32:00,2
November,Montana,System Operations,44,,2021,2021-11-04 21:34:00,2021-11-04 22:57:00,1
November,Pennsylvania,Suspicious Activity,0,0,2021,2021-11-06 06:45:00,2021-11-06 07:00:00,0
November,Washington,Suspicious Activity,,350,2021,2021-11-06 08:40:00,2021-11-06 08:41:00,0
November,Washington,System Operations,9,,2021,2021-11-08 22:53:00,2021-11-08 23:33:00,1
November,Mississippi,System Operations,,,2021,2021-11-09 18:00:00,2021-11-09 20:00:00,2
November,Indiana,Vandalism,0,0,2021,2021-11-09 08:50:00,2021-11-09 16:00:00,7
November,Texas,Transmission Interruption,0,0,2021,2021-11-10 21:19:00,2021-11-11 01:19:00,4
November,New York,Transmission Interruption,0,0,2021,2021-11-10 09:49:00,2021-11-10 10:05:00,0
November,Texas,System Operations,67,,2021,2021-11-11 05:52:00,2021-11-11 06:09:00,0
November,Oregon,Vandalism,0,0,2021,2021-11-12 07:00:00,2021-11-12 07:14:00,0
November,Colorado,Suspicious Activity,0,0,2021,2021-11-15 11:47:00,,
November,Washington,Severe Weather,,90000,2021,2021-11-15 11:00:00,2021-11-17 06:00:00,43
November,California,Suspicious Activity,0,0,2021,2021-11-16 00:42:00,2021-11-16 07:35:00,7
November,Maryland,System Operations,0,0,2021,2021-11-16 17:37:00,2021-11-16 18:21:00,1
November,Michigan,System Operations,0,0,2021,2021-11-17 12:43:00,2021-11-17 13:25:00,1
November,Colorado,Vandalism,0,0,2021,2021-11-17 13:12:00,,
November,Wisconsin,Cyber Event,0,0,2021,2021-11-21 10:00:00,2021-11-21 10:01:00,0
November,California,Severe Weather,,81406,2021,2021-11-24 10:00:00,2021-11-26 10:21:00,48
November,North Carolina,System Operations,0,0,2021,2021-11-30 06:46:00,2021-11-30 06:47:00,0
November,Texas,Suspicious Activity,0,0,2021,2021-11-30 06:52:00,2021-11-30 07:25:00,1
November,California,System Operations,10,6000,2021,2021-11-30 13:47:00,2021-11-30 14:21:00,1
November,Oregon,Vandalism,0,0,2021,2021-11-30 05:00:00,2021-11-30 05:01:00,0
December,Wisconsin,System Operations,0,0,2021,2021-12-01 10:04:00,2021-12-01 13:08:00,3
December,Texas,System Operations,0,0,2021,2021-12-02 10:33:00,2021-12-02 13:10:00,3
December,Indiana,Transmission Interruption,0,0,2021,2021-12-07 14:33:00,2021-12-07 15:40:00,1
December,New York,System Operations,0,0,2021,2021-12-08 09:04:00,2021-12-08 09:35:00,1
December,Idaho,Vandalism,0,0,2021,2021-12-10 12:06:00,2021-12-10 13:07:00,1
December,Tennessee,Severe Weather,177,107344,2021,2021-12-11 03:13:00,2021-12-15 15:30:00,108
December,New York,Severe Weather,,103000,2021,2021-12-11 18:16:00,2021-12-13 17:00:00,47
December,Michigan,Severe Weather,,182410,2021,2021-12-11 11:13:00,2021-12-12 23:06:00,36
December,Michigan,Severe Weather,,159947,2021,2021-12-11 10:30:00,2021-12-11 15:00:00,4
December,Louisiana,Vandalism,36,,2021,2021-12-12 06:14:00,2021-12-12 06:40:00,0
December,California,Severe Weather,120,65994,2021,2021-12-14 07:28:00,2021-12-14 13:43:00,6
December,Washington,System Operations,0,0,2021,2021-12-14 09:39:00,2021-12-14 09:48:00,0
December,Kansas,Severe Weather,,174000,2021,2021-12-15 19:00:00,2021-12-16 03:00:00,8
December,Iowa,Severe Weather,,134000,2021,2021-12-15 18:00:00,2021-12-16 09:00:00,15
December,Missouri,Severe Weather,0,258000,2021,2021-12-15 16:37:00,2021-12-16 11:30:00,19
December,Wisconsin,Severe Weather,,80000,2021,2021-12-15 20:00:00,,
December,Wisconsin,Severe Weather,,156000,2021,2021-12-15 20:00:00,,
December,Iowa,Severe Weather,,,2021,2021-12-15 21:00:00,,
December,Nebraska,System Operations,5,,2021,2021-12-15 15:56:00,2021-12-15 17:27:00,2
December,Missouri,Severe Weather,,,2021,2021-12-15 16:37:00,,
December,Michigan,Severe Weather,,200675,2021,2021-12-16 06:00:00,2021-12-16 20:00:00,14
December,California,Suspicious Activity,10,11770,2021,2021-12-18 13:04:00,2021-12-18 21:59:00,9
December,Texas,Suspicious Activity,0,0,2021,2021-12-19 20:48:00,2021-12-19 21:00:00,0
December,Texas,System Operations,22,,2021,2021-12-21 21:59:00,2021-12-22 14:15:00,16
December,Pennsylvania,Suspicious Activity,0,0,2021,2021-12-23 01:10:00,2021-12-23 01:15:00,0
December,Massachusetts,System Operations,0,0,2021,2021-12-23 14:02:00,2021-12-23 14:55:00,1
December,Texas,System Operations,,,2021,2021-12-24 00:34:00,2021-12-24 06:40:00,6
December,California,Severe Weather,381,115830,2021,2021-12-27 04:11:00,2022-01-01 02:41:00,118
December,California,System Operations,120,65994,2021,2021-12-27 21:01:00,2021-12-30 09:11:00,60
December,Nevada,System Operations,0,0,2021,2021-12-29 11:00:00,2021-12-29 12:00:00,1
December,Missouri,Vandalism,0,0,2021,2021-12-30 18:51:00,,
January,Washington,System Operations,0,0,2022,2022-01-01 12:36:00,2022-01-01 14:12:00,2
January,Washington,System Operations,0,0,2022,2022-01-01 12:36:00,2022-01-02 19:43:00,31
January,Georgia,Vandalism,0,0,2022,2022-01-01 01:01:00,,
January,New Hampshire,Suspicious Activity,2,845,2022,2022-01-01 00:06:00,2022-01-01 05:51:00,6
January,California,Severe Weather,3,1706,2022,2022-01-02 13:21:00,2022-01-02 17:38:00,4
January,Washington,Vandalism,0,0,2022,2022-01-03 12:45:00,2022-01-03 12:46:00,0
January,South Carolina,Severe Weather,,60424,2022,2022-01-03 05:00:00,2022-01-04 18:00:00,37
January,North Carolina,Severe Weather,,142000,2022,2022-01-03 05:30:00,2022-01-04 12:30:00,31
January,Georgia,Severe Weather,283,40885,2022,2022-01-03 01:00:00,2022-01-03 14:00:00,13
January,Massachusetts,System Operations,0,0,2022,2022-01-05 12:32:00,2022-01-05 12:45:00,0
January,Florida,Vandalism,0,0,2022,2022-01-08 02:20:00,2022-01-12 07:40:00,101
January,New Hampshire,Suspicious Activity,0,0,2022,2022-01-08 18:07:00,2022-01-08 22:26:00,4
January,Texas,System Operations,0,0,2022,2022-01-08 02:56:00,2022-01-08 03:03:00,0
January,Mississippi,System Operations,,,2022,2022-01-09 18:08:00,,
January,Indiana,System Operations,,,2022,2022-01-12 09:20:00,2022-01-12 10:25:00,1
January,Massachusetts,Suspicious Activity,0,0,2022,2022-01-13 16:00:00,2022-01-13 16:01:00,0
January,Pennsylvania,Suspicious Activity,0,0,2022,2022-01-14 13:50:00,2022-01-14 14:13:00,0
January,Texas,Transmission Interruption,0,0,2022,2022-01-14 08:34:00,2022-01-14 08:42:00,0
January,New York,Suspicious Activity,0,0,2022,2022-01-15 14:09:00,2022-01-15 14:28:00,0
January,North Carolina,Severe Weather,,51289,2022,2022-01-16 12:05:00,2022-01-17 08:45:00,21
January,North Carolina,Severe Weather,,74638,2022,2022-01-16 13:15:00,2022-01-16 17:15:00,4
January,Georgia,Severe Weather,436,61113,2022,2022-01-16 05:15:00,2022-01-17 00:06:00,19
January,Texas,Cyber Event,0,0,2022,2022-01-18 22:22:00,2022-01-18 22:23:00,0
January,Maine,System Operations,0,0,2022,2022-01-19 14:35:00,2022-01-19 16:02:00,1
January,Mississippi,Severe Weather,0,0,2022,2022-01-20 19:57:00,2022-01-21 05:30:00,10
January,Maine,System Operations,0,0,2022,2022-01-20 09:00:00,2022-01-20 09:59:00,1
January,Pennsylvania,Suspicious Activity,0,0,2022,2022-01-23 00:37:00,2022-01-23 00:42:00,0
January,Washington,System Operations,0,0,2022,2022-01-24 10:27:00,2022-01-24 10:51:00,0
January,New York,Sabotage,0,0,2022,2022-01-24 11:50:00,2022-01-24 16:00:00,4
January,Florida,System Operations,0,0,2022,2022-01-26 13:37:00,2022-01-26 14:15:00,1
January,Nevada,Vandalism,0,0,2022,2022-01-27 11:30:00,2022-01-27 11:31:00,0
January,Colorado,Transmission Interruption,0,0,2022,2022-01-28 15:41:00,2022-01-28 21:30:00,6
January,Connecticut,Severe Weather,120,12000,2022,2022-01-29 08:45:00,2022-01-30 01:00:00,16
January,Nebraska,System Operations,0,0,2022,2022-01-30 20:41:00,2022-01-31 00:42:00,4
January,West Virginia,Suspicious Activity,0,0,2022,2022-01-31 19:58:00,2022-01-31 20:10:00,0
February,California,System Operations,10,8124,2022,2022-02-01 12:13:00,2022-02-01 12:25:00,0
February,Tennessee,Severe Weather Transmission Interruption,,255000,2022,2022-02-03 10:00:00,2022-02-07 20:00:00,106
February,Ohio,Severe Weather Transmission Interruption,,51000,2022,2022-02-03 12:56:00,2022-02-04 20:30:00,32
February,Ohio,Severe Weather Transmission Interruption,,51000,2022,2022-02-03 12:56:00,,
February,Texas,Transmission Interruption,,,2022,2022-02-04 18:21:00,2022-02-04 22:00:00,4
February,New York,Severe Weather Transmission Interruption,,67404,2022,2022-02-04 13:10:00,,
February,New York,Vandalism,0,0,2022,2022-02-09 07:00:00,2022-02-09 09:00:00,2
February,California,Vandalism,,,2022,2022-02-12 16:29:00,2022-02-12 16:30:00,0
February,Rhode Island,Suspicious Activity,0,0,2022,2022-02-17 10:30:00,2022-02-17 10:31:00,0
February,Louisiana,System Operations,80,0,2022,2022-02-17 00:09:00,2022-02-17 07:36:00,7
February,Connecticut,Severe Weather,7,7047,2022,2022-02-18 07:10:00,2022-02-18 16:25:00,9
February,Texas,Suspicious Activity,0,0,2022,2022-02-22 11:10:00,2022-02-22 12:15:00,1
February,Texas,Transmission Interruption,3,1405,2022,2022-02-24 10:25:00,2022-02-24 10:31:00,0
February,California,System Operations,246,0,2022,2022-02-24 01:09:00,2022-02-24 02:59:00,2
February,Texas,System Operations,0,0,2022,2022-02-25 09:31:00,2022-02-25 13:09:00,4
February,Washington,Actual Physical Attack,0,0,2022,2022-02-26 11:15:00,2022-02-26 17:00:00,6
February,Texas,Vandalism,0,0,2022,2022-02-28 09:25:00,2022-02-28 09:26:00,0
March,Indiana,System Operations,0,0,2022,2022-03-01 13:43:00,2022-03-01 13:47:00,0
March,North Carolina,System Operations,0,0,2022,2022-03-02 09:26:00,2022-03-02 10:05:00,1
March,Illinois,System Operations,0,0,2022,2022-03-05 22:58:00,2022-03-06 19:38:00,21
March,Texas,Cyber Event,0,0,2022,2022-03-06 02:30:00,2022-03-06 17:00:00,14
March,Georgia,System Operations,48,5855,2022,2022-03-08 13:50:00,2022-03-08 14:39:00,1
March,Nebraska,Transmission Interruption,0,0,2022,2022-03-10 08:51:00,2022-03-10 15:15:00,6
March,Texas,Suspicious Activity,0,0,2022,2022-03-11 06:35:00,2022-03-11 07:00:00,0
March,Alabama,Severe Weather,139,19380,2022,2022-03-12 08:33:00,,
March,Minnesota,Vandalism,0,0,2022,2022-03-13 22:15:00,2022-03-13 22:38:00,0
March,Texas,Vandalism,0,0,2022,2022-03-14 09:30:00,2022-03-14 10:45:00,1
March,New Jersey,Suspicious Activity,,,2022,2022-03-14 15:45:00,,
March,California,Vandalism,10,3958,2022,2022-03-15 18:53:00,2022-03-15 20:33:00,2
March,Maine,System Operations,0,0,2022,2022-03-15 11:11:00,2022-03-15 11:47:00,1
March,California,Vandalism,0,0,2022,2022-03-16 11:28:00,2022-03-16 11:29:00,0
March,North Carolina,Actual Physical Attack Vandalism,0,0,2022,2022-03-17 12:59:00,,
March,Florida,Transmission Interruption,78,20423,2022,2022-03-18 16:32:00,,
March,Minnesota,System Operations,0,0,2022,2022-03-20 17:52:00,2022-03-20 22:20:00,4
March,Texas,Severe Weather,,170000,2022,2022-03-21 19:00:00,2022-03-24 00:00:00,53
March,Maryland,Suspicious Activity,0,0,2022,2022-03-22 21:04:00,2022-03-22 21:08:00,0
March,South Dakota,Transmission Interruption,0,0,2022,2022-03-22 00:06:00,2022-03-22 04:29:00,4
March,Maine,System Operations,0,0,2022,2022-03-25 20:46:00,2022-03-25 22:48:00,2
March,California,Vandalism,0,0,2022,2022-03-29 11:45:00,,
March,Vermont,Vandalism,0,0,2022,2022-03-29 16:34:00,2022-03-30 15:25:00,23
March,Louisiana,Severe Weather,,66448,2022,2022-03-30 15:45:00,,
March,Michigan,Severe Weather,60,70000,2022,2022-03-31 08:59:00,2022-04-01 19:30:00,35
March,Montana,Cyber Event,0,0,2022,2022-03-31 22:43:00,,
March,Georgia,Severe Weather,157,22000,2022,2022-03-31 00:04:00,2022-03-31 09:20:00,9
April,Missouri,System Operations,73,16299,2022,2022-04-05 04:40:00,2022-04-05 17:21:00,13
April,Arkansas,System Operations,5,,2022,2022-04-10 15:41:00,2022-04-10 15:50:00,0
April,Oregon,Severe Weather,3140,73717,2022,2022-04-11 09:15:00,2022-04-13 08:00:00,47
April,California,Actual Physical Attack,2,1337,2022,2022-04-11 21:37:00,2022-04-11 22:14:00,1
April,Maryland,Suspicious Activity,0,0,2022,2022-04-11 20:33:00,2022-04-11 20:40:00,0
April,Arkansas,Actual Physical Attack,0,0,2022,2022-04-12 17:42:00,2022-04-12 18:38:00,1
April,Louisiana,System Operations,7,2429,2022,2022-04-13 22:04:00,2022-04-14 00:02:00,2
April,California,Transmission Interruption,164,262268,2022,2022-04-14 05:59:00,2022-04-14 06:13:00,0
April,Missouri,Generation Inadequacy,0,0,2022,2022-04-16 12:17:00,,
April,Iowa,System Operations,0,0,2022,2022-04-16 11:08:00,,
April,Washington,Suspicious Activity,0,0,2022,2022-04-16 10:45:00,,
April,California,System Operations,9290,,2022,2022-04-16 17:44:00,,
April,California,System Operations,0,0,2022,2022-04-16 05:30:00,2022-04-16 11:38:00,6
April,Pennsylvania,Suspicious Activity,0,0,2022,2022-04-16 22:55:00,2022-04-16 22:57:00,0
April,New York,Severe Weather,,97000,2022,2022-04-19 06:00:00,,
April,Connecticut,Severe Weather,,67754,2022,2022-04-19 08:41:00,2022-04-19 12:10:00,3
April,New York,Severe Weather,,84033,2022,2022-04-19 04:07:00,,
April,North Dakota,Severe Weather,1000,,2022,2022-04-22 23:00:00,2022-04-24 16:00:00,41
April,North Dakota,Severe Weather,,,2022,2022-04-22 23:16:00,2022-04-24 16:00:00,41
April,North Dakota,Severe Weather,480,18430,2022,2022-04-23 15:38:00,2022-04-24 04:00:00,12
April,Iowa,Severe Weather,43,22400,2022,2022-04-23 19:42:00,2022-04-24 16:17:00,21
April,Minnesota,Vandalism,17,0,2022,2022-04-26 14:27:00,,
April,California,Vandalism,0,0,2022,2022-04-26 08:54:00,2022-04-26 08:55:00,0
April,Ohio,Suspicious Activity,,,2022,2022-04-27 09:00:00,2022-04-27 09:01:00,0
April,North Carolina,System Operations,74,,2022,2022-04-28 07:56:00,2022-04-28 08:48:00,1
April,New Mexico,Suspicious Activity,0,0,2022,2022-04-28 15:45:00,,
April,California,Vandalism,0,0,2022,2022-04-29 07:05:00,2022-04-29 07:06:00,0
May,California,Vandalism,,0,2022,2022-05-02 14:24:00,2022-05-02 14:25:00,0
May,New Hampshire,Vandalism,0,0,2022,2022-05-03 06:42:00,2022-05-03 13:59:00,7
May,Louisiana,Actual Physical Attack,0,0,2022,2022-05-03 00:17:00,2022-05-04 12:00:00,36
May,Michigan,System Operations,,0,2022,2022-05-04 14:07:00,2022-05-05 01:57:00,12
May,Arkansas,Transmission Interruption,,0,2022,2022-05-05 13:06:00,2022-05-05 14:06:00,1
May,Michigan,Fuel Supply Deficiency,0,0,2022,2022-05-06 03:02:00,2022-05-06 03:34:00,1
May,Texas,Vandalism,0,0,2022,2022-05-09 16:25:00,2022-05-09 17:10:00,1
May,Minnesota,Severe Weather,,105000,2022,2022-05-11 18:00:00,2022-05-11 22:42:00,5
May,Iowa,Vandalism,0,0,2022,2022-05-11 10:00:00,2022-05-11 10:01:00,0
May,South Dakota,Transmission Interruption,,,2022,2022-05-12 16:50:00,2022-05-13 02:48:00,10
May,Mississippi,Actual Physical Attack Vandalism,0,0,2022,2022-05-12 14:58:00,2022-05-12 14:59:00,0
May,Mississippi,Actual Physical Attack Vandalism,0,0,2022,2022-05-12 14:58:00,2022-05-12 14:59:00,0
May,Texas,Suspicious Activity,0,0,2022,2022-05-12 01:00:00,2022-05-12 01:10:00,0
May,Missouri,Transmission Interruption,800,0,2022,2022-05-12 10:44:00,2022-05-12 13:34:00,3
May,Texas,System Operations,0,0,2022,2022-05-14 15:05:00,2022-05-14 16:30:00,1
May,Texas,Severe Weather,,150000,2022,2022-05-15 23:30:00,2022-05-17 23:45:00,48
May,Pennsylvania,Suspicious Activity,0,0,2022,2022-05-15 21:00:00,2022-05-15 21:10:00,0
May,California,Vandalism,0,0,2022,2022-05-16 05:00:00,2022-05-16 05:01:00,0
May,Arizona,System Operations,0,0,2022,2022-05-16 16:03:00,2022-05-16 19:32:00,3
May,New Mexico,Transmission Interruption,25,,2022,2022-05-17 12:10:00,,
May,New Mexico,Fuel Supply Deficiency,560,0,2022,2022-05-18 17:00:00,2022-05-31 12:00:00,307
May,Idaho,Vandalism,0,0,2022,2022-05-18 11:00:00,2022-05-18 16:34:00,6
May,Pennsylvania,Suspicious Activity,0,0,2022,2022-05-18 15:30:00,2022-05-18 16:30:00,1
May,New York,Transmission Interruption,0,0,2022,2022-05-20 17:26:00,2022-05-20 17:33:00,0
May,New York,Suspicious Activity,0,0,2022,2022-05-20 08:48:00,,
